type,blockTime,delegator,id,indexer,logIndex,tokens
stakeDelegatedWithdrawns,1611327598,0xb002c0abd728c30510a13e1db1aaed0c140e38ae,0x39859d140cc1f43a7c16652ab2c7d68d50d140f99f46737c5c77af7985e7f02c-204,0xbe9d7c691792937ca7e2535652886ff390cc5b86,204,10641165260297443474010
stakeDelegatedWithdrawns,1611329039,0x2dd00cf932192e10a38915cdfe0431bc9dac30a9,0x24c71f3bec3541a813e2c9656164165c7a4815747f8ca63e186a848502b8516a-251,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,251,1011914999999999999999
stakeDelegatedWithdrawns,1611371286,0xa853c1cb63e3e62e4cef4c17a41d6ab0edcd8d67,0x121ebadc085b9dc2ca4b76abda99783c23039c959560ae9b0b53891a591318a1-193,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,193,99499999999999999999
stakeDelegatedWithdrawns,1611371315,0x65dd7b52d51118cc081d3d797c1bfdcceec5f7d9,0x229d27ccf49cd8f3a331af01f4a27d9c9e0a7daa86cf93c3868ec383a742b3a2-166,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,166,13343295313930971849549
stakeDelegatedWithdrawns,1611416048,0x4bf180a73575d4393cc794f29fb92c3954a36b5a,0x200720bbe843ba34655538d469067d28a7883e5750ec903d40a5ce5b7e1c0657-118,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,118,4212402197087436714999
stakeDelegatedWithdrawns,1611421537,0x9a8b16c83155696d898d4e1f94319fea237a611d,0x0682084ac3d942e0f8d5bef4533103698b67e6c9d34b2adfee62fe70c4968566-234,0xbe9d7c691792937ca7e2535652886ff390cc5b86,234,870263516499999999999
stakeDelegatedWithdrawns,1611558301,0xd0d6e0e58fe68bd495b4fd56bff3b19676460272,0x1d327e262ef2aff0c6c548040bcfd1c83222388c560b4fe968e8f13a6970f056-316,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,316,3293867733405652623602
stakeDelegatedWithdrawns,1611612701,0x8b59e1636f1efde992da55d3fa1c621a0a62ba0f,0x324ce9c9e72315b9f89e686dbf9ab0f16ef7fc6fbfa109a931724fea9b5046e0-329,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,329,994999999999999999999
stakeDelegatedWithdrawns,1611680169,0x306cb31aec1d7f5e0176f81ddd4c6bfc6587a5e6,0x089c3869cb792431c2b6a3ada2adec2aae31f91c94c03d9e2b4c223bc4dbd977-273,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,273,250300973471936578210153
stakeDelegatedWithdrawns,1611681087,0x0af2b7016bc4df976903188f7fa404b337723456,0x2c0049898b4e414b1accce02b0c448a8977e8cec19b05b62b854539d3b561590-252,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,252,3000000000000000001225
stakeDelegatedWithdrawns,1611693032,0x991d540e7ecfa15dbe3f52d0f758010dbec85f6d,0x25db3ea7f020dad466df48dcd7fe651fc8d93626e3729e11ac94a14053a3bc8c-343,0x5a8904be09625965d9aec4bffd30d853438a053e,343,5000000000000000000768
stakeDelegatedWithdrawns,1611777981,0xa8633ec16abdfbd7ae31ec6f25c67907f3ca1061,0x2aeb45ee1cf154e13e7c6e195572b7f6f3b06ea9b1ee322581ec3d3cd2c0ee94-205,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,205,4600707720831030335373
stakeDelegatedWithdrawns,1611781887,0xae5195823004e2654fbc39a1a8719b62264c6171,0x33079a5abf76e71bb52aea7105de05bcb7c9c2e3a3e09d54e3b5a63909c93615-260,0x7fd833cf8775e9c3524b8be925723345164964be,260,15076100461266271969791
stakeDelegatedWithdrawns,1611793719,0x9680a1f7be988d92c9cf262b6df7cf97481a4b96,0x0efa84fc2791cf4955d7f61b97a5c4e40956736f1c04149b7efa56f7e32f9bf1-228,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,228,496590661709149999999
stakeDelegatedWithdrawns,1611810895,0x43bc8535b3a55272c522e98930fd9c42168c9de7,0x0c6f05b283fb30675daec66f3a2c444840c3955f8a6be534ee757c873ce10b62-180,0x5a8904be09625965d9aec4bffd30d853438a053e,180,4984327248556007396635
stakeDelegatedWithdrawns,1611830040,0x51018972e0ad6703aa563e43ef11a1bf1ee0ed0e,0x286422a589fc29a179579d57cd232701a61d1a8c234ca74d79a0fc2e2f4f7c32-86,0xddc39dceb6d8fb94d8a9b59cf3bf9a1e7ae19034,86,13641663655072180324832
stakeDelegatedWithdrawns,1611831418,0x51018972e0ad6703aa563e43ef11a1bf1ee0ed0e,0x0c28b98519314ccb6a07695125b3a65738c091fb3a8a864aea37dbfade05898d-362,0x48b5687f0595e2a4d581dc72305fbae214345d07,362,999974999999999999998
stakeDelegatedWithdrawns,1611860267,0x70ad955d5f34991e81dad7ce2bbe418f8d5edc07,0x1ab8183eef2b9f0e2dd8fcff89c6bb34731b86105ae3ef919f84b02b4f2f6515-264,0xddc39dceb6d8fb94d8a9b59cf3bf9a1e7ae19034,264,2608195267233677555006
stakeDelegatedWithdrawns,1611872261,0x1f2628373e3aaa9975304de2c4ce5dcd00e23c21,0x337681f4d606be4d5f04cd92f816737d7c9a3d88962ff3150aab5391130930a8-286,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,286,1755194836599449668944
stakeDelegatedWithdrawns,1611879652,0x73cd627c3d6ad8e64c18d48396379db52d5792b5,0x09db5c816e42ce4cd419958655625e7cde5d1cbc2267c3ef28b604b3e49d37d6-285,0x5a8904be09625965d9aec4bffd30d853438a053e,285,25894121322452136116205
stakeDelegatedWithdrawns,1611881155,0x6a711dce8183adb1976963a3543fbab4f7efdd04,0x0b33cf8c142b3132665dcfe71514a7a41541accc722187155e865d75d8656894-155,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,155,2394040284719061669279
stakeDelegatedWithdrawns,1611881484,0x51018972e0ad6703aa563e43ef11a1bf1ee0ed0e,0x170e83d1f84327688cee5377357f11bc111dabdefd000f02f9446147358f5610-291,0x4bbae81dc703e33cb290c069afac427d96aba895,291,995000000000000000000
stakeDelegatedWithdrawns,1611947952,0x8ba8b916d018a489dd72d0da05a735e765590be9,0x1500bb666e341442403679fe5e2063ca285d3599b23d924d1d8f6aebe1206096-316,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,316,5930405863460660934999
stakeDelegatedWithdrawns,1611963517,0xf748879edbe8cca140940788163d7be4d2a2e46a,0x05bb73de3560df546918327bf5549d07d49897095c0f0df22cbbaf26e946f7ec-87,0x03db85e86779febdd96d96ba43ac48382fb1a88d,87,5025221500892176707204
stakeDelegatedWithdrawns,1611969097,0x3e1f1fc109b0130a8ba13a1546c713d030b8613f,0x0be505849fab4cda7880c5c1b006b658894b29ec87cd0747655f5f2546b8708a-16,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,16,40328529706649058037846
stakeDelegatedWithdrawns,1611981561,0x3ece8d40dac89ffb408f7cb5eaf24ab6a3135028,0x2e6615e89e9575d84a0c4e180034426f4f2262b681966bcc5e751776b30638b1-169,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,169,2866719804266836368177
stakeDelegatedWithdrawns,1611986490,0x70a49eaf09e4481ce920da1bdd84e16f08f92a7d,0x1739a7103bc807620c384786c159c14c79678328e58628595c7073109d2b961a-148,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,148,6987459958922905372960
stakeDelegatedWithdrawns,1612078440,0xf8375068f5ddab07033bf5410e1fcf6ef70955a0,0x1c67804422b72da3cfef0192567addf4e96215681ab89a845bf6d527bf391136-198,0x7697a886fc3b71a8a88487019337a6bbe5838f1a,198,1021521628553634283669
stakeDelegatedWithdrawns,1612111743,0x81dc85f87296af672ded86b78ac1bee0a27c1db2,0x07feb2c529bbbcaf90219ba5386b652f3d3f3d15d395a16e5c04983aa52e5822-265,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,265,10000000000000000004492
stakeDelegatedWithdrawns,1612122164,0xbdfbf2a55de91fee5d0eb829fdfd337430862bff,0x0d11fb4e121c9d1bb004e8febce81fc20950c7c6c7eaaeeecbb917f2a141aea9-126,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,126,4978416054450577870381
stakeDelegatedWithdrawns,1612126362,0x22ce3bcbdfa26bbde3a225caa4fa35ec04a7723a,0x2d60c701a6064680f6f86661e978ac5d91149fab8c9cfc30bf15ed559bfd1722-188,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,188,1509315499999999999999
stakeDelegatedWithdrawns,1612179659,0x82867ae9fe37e9552e7b3b5829ab4c597c3b4698,0x09e94c962c59fea9bd089f0d9a41a556000ff0df84683c8f4491a631dd5fc586-225,0x6980fd6c85a98df8180123951e46d673b456699c,225,2489140011735354346455
stakeDelegatedWithdrawns,1612179966,0xf04cc5d254942c8eebc8b3b8b40b3157fb6007c4,0x2b545c3c870c6b6429b7d428ad1e42dfe3dda9403b57063f34621188ca9dc47f-73,0x4fedde33607cfda2c82a999accb427d1170987d9,73,1367822961343191707848
stakeDelegatedWithdrawns,1612232660,0xc1a7fb28bd7b34f3197c51c5f13be56a50d26d09,0x332a25aa3e676f0b2550ac7a4c2105c5dbc03699415a24fe874286f25aa488fd-49,0x5a8904be09625965d9aec4bffd30d853438a053e,49,1005808987132076899215
stakeDelegatedWithdrawns,1612301706,0x306cb31aec1d7f5e0176f81ddd4c6bfc6587a5e6,0x1632cbf0d1db816c20e5dd9397f3feaf828c934c5b1a8dbed57e11b5296cf072-208,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,208,99713500151827794572111
