type,blockNumber,delegator,id,indexer,logIndex,shares,tokens
stakeDelegates,11671504,0x5f200b56a98126349f1d9f8a74b620e6e50d9f19,0x0096a2090fa3b9c5629b88cf568fefc04fc5086fa4901f80185d22a4f26c5ff7-216,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,216,360931353361839293984,366596383647350000000
stakeDelegates,11671504,0x5f200b56a98126349f1d9f8a74b620e6e50d9f19,0x0096a2090fa3b9c5629b88cf568fefc04fc5086fa4901f80185d22a4f26c5ff7-216,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,216,360931353361839293984,366596383647350000000
stakeDelegates,11673022,0xf2e9fb0e1ffcdc0dca2f39aa2e2245375bccf3e5,0x000e23c35bc188a370f44082c5b8c6b0a1d074d4a2d26b11800b5675979489f6-166,0xd22c1c1a1fc452e3312489f1e89676e93c3323f0,166,2477123641674834622479,2487500000000000000000
stakeDelegates,11673022,0xf2e9fb0e1ffcdc0dca2f39aa2e2245375bccf3e5,0x000e23c35bc188a370f44082c5b8c6b0a1d074d4a2d26b11800b5675979489f6-166,0xd22c1c1a1fc452e3312489f1e89676e93c3323f0,166,2477123641674834622479,2487500000000000000000
stakeDelegates,11689651,0xa31d6dd6ef05356910b680bf60a13aba6a04435b,0x0029b37a28689c2a3d8524f1e9aefca0d19afbf6955176b88af584fb326aa377-122,0x5a8904be09625965d9aec4bffd30d853438a053e,122,6894036414710685961397,7043261998784200000000
stakeDelegates,11689651,0xa31d6dd6ef05356910b680bf60a13aba6a04435b,0x0029b37a28689c2a3d8524f1e9aefca0d19afbf6955176b88af584fb326aa377-122,0x5a8904be09625965d9aec4bffd30d853438a053e,122,6894036414710685961397,7043261998784200000000
stakeDelegates,11695422,0xff684a0ffccb954f751d3254faf0c53d218dfc87,0x00b975ffe0be43ce9669a66d91a0d567f42aba1c8d80f4b063a51ff485e6b9db-176,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,176,15513477022323049462059,15920000000000000000000
stakeDelegates,11695422,0xff684a0ffccb954f751d3254faf0c53d218dfc87,0x00b975ffe0be43ce9669a66d91a0d567f42aba1c8d80f4b063a51ff485e6b9db-176,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,176,15513477022323049462059,15920000000000000000000
stakeDelegates,11700132,0x2e6b7de5a4d8bd62f38294b87d54c9d948b5245e,0x01a74eb199570c9990bfad60e871922eb977a5ba43ca71754c05434f0ced59c5-50,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,50,924363452350807926264145,956730310000000000000000
stakeDelegates,11701315,0xd081dd9aa91554de6530a98e2b677f355621829b,0x01c6ed5660ba3e8598dbaab7b2084ac9bffb7feffd110a521cbb10303fae9f45-74,0xb06071394531b63b0bac78f27e12dc2beaa913e4,74,309828082230298855938,316689530026500000000
stakeDelegates,11707501,0x36067e3b1caa5f9330b8af03c4780df57fa32fe0,0x01b10e20efa78728f995eb785c9746e514c4e192432fb590d87ee10b5735dc70-150,0x365507a4eef5341cf00340f702f7f6e74217d96e,150,497500000000000000000000,497500000000000000000000
stakeDelegates,11710163,0xaa73775ec15687dc8494e4768d276d3ca36e7e41,0x015a51abafb3075b0cbd04ffdf00149576a77cf608c97217aa3ac5fd287c80e1-180,0x03db85e86779febdd96d96ba43ac48382fb1a88d,180,10393568525650530390507,10639376678833750000000
stakeDelegates,11710163,0xaa73775ec15687dc8494e4768d276d3ca36e7e41,0x015a51abafb3075b0cbd04ffdf00149576a77cf608c97217aa3ac5fd287c80e1-180,0x03db85e86779febdd96d96ba43ac48382fb1a88d,180,10393568525650530390507,10639376678833750000000
stakeDelegates,11712794,0x67aa135dea604ab5b959db54f108ad8a2c9475a9,0x009d5f685c29635944bd80c03955afbb928d0773849a30f245f44c760ad90cde-96,0xbe9d7c691792937ca7e2535652886ff390cc5b86,96,166579176190306034568976,310771663350000000000000
