allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount
,11477707,,0x1938942a138671361660868f6355bf850d03b2b8d3860faaf2b58d29222e7cfd-274,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,274,,4621775955200000000000,stakeDelegateds,,,,,,0xc1d7be08f873e2121d5565aa862d2d9e4681e290,4621775955200000000000,,,,,,
,11477790,,0x74e267851417254e0afd12edf086e4292a753d1a2ed2ddbea7b6dc1b1de6c2fb-132,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,132,,70851867092362550000000,stakeDelegateds,,,,,,0xe816c2932724655782a81009cab64bc45446afb0,70851867092362550000000,,,,,,
,11477827,,0xa3f4940040db328066b9d99e7db672c7aa024184469687232e933f11b48c2d88-239,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,239,,362180000000000000000,stakeDelegateds,,,,,,0xf5adc2c1e3f5fabe72e57a86449da151cf3a47b0,362180000000000000000,,,,,,
,11477951,,0x249d521531b31367ee074cb2b10eb47da295fe26bec3718380e6651300d8a487-189,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,189,,796000000000000000000,stakeDelegateds,,,,,,0xe39bc99b80a9efd0f14f82aea1406eee93d456f2,796000000000000000000,,,,,,
,11478034,,0xf88fcc8b713b6cc6808cdcd625ba5d3d8b8ce0c1ac3147ceac37d89c500fe80a-260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,260,,1592000000000000000000,stakeDelegateds,,,,,,0x424b8722b214174ccdcc92c85b376673c46b8689,1592000000000000000000,,,,,,
,11478058,,0xfc442cc92e63587d9f6767dcc7a0c74663e9040db61b5a740ffc5e6a1426dcb1-151,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,151,,11552945000000000000000,stakeDelegateds,,,,,,0x65edea46429767082b796aa93f3bcfb674be43c6,11552945000000000000000,,,,,,
,11478081,,0x94275039c469458ab8d0feb8e99b4b6c0f4752b27541cb7cbe42fbbc717ebe6b-59,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,59,,14064325000000000000000,stakeDelegateds,,,,,,0x45648f5bab757406902cde440b791c06175a7810,14064325000000000000000,,,,,,
,11478517,,0x664089ac9abf8d0fee295b9bae7ac90f9947ae4fe4585931685036da2efdb071-39,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,39,,4975000000000000000,stakeDelegateds,,,,,,0x35bd2f4c5fe1eb298d27e2efffc9ad70481447eb,4975000000000000000,,,,,,
,11478547,,0x8d51f72e3258149cfb2c9771cb2d251da8b61a2a474b6db13e8d3159049cb151-129,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,129,,129177367500000000000000,stakeDelegateds,,,,,,0x089f5d91572383c46041a32751bf7d0c711b7d69,129177367500000000000000,,,,,,
,11478645,,0x5955954ef13e8aac263dd4e5e82c82a3194e8bc242be28f22478ef882bde0014-136,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,136,,49750000000000000000000,stakeDelegateds,,,,,,0x5886cf93fa5d2c126f2f60a485cec5392cea8fa5,49750000000000000000000,,,,,,
,11478656,,0x3ee1f13c2e92e05248e5ce0d062189c36169900b3130b2d821bb62ce2d9bcdc1-233,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,233,,162534802200000000000000,stakeDelegateds,,,,,,0x7bdcb057735391d293c11945c5240434d1d85ead,162534802200000000000000,,,,,,
,11478785,,0xfd62c91a6ffbf12991ec5670acd64932f8188ebe56df7ae35ad7c929987d0ac6-188,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,188,,886642139860000000000000,stakeDelegateds,,,,,,0xc9ede68e6176727a7d878163c8adf2d528e45ac4,886642139860000000000000,,,,,,
,11478851,,0x18e34c44e928b7f98a0aee6b2b2cddf05dfbfd56d5e4dc4b7343535eec69f27a-73,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,73,,497500000000000000000,stakeDelegateds,,,,,,0x73529f7ffa31b66f27f83d2bf549f8b8bae87f42,497500000000000000000,,,,,,
,11479056,,0x620d3f75131e453714f73534907c5b935e8d8686ddbf2f3ec8c1d52a174b0d3a-307,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,307,,19250697746793000000000,stakeDelegateds,,,,,,0x1eda5b5fc4b6fce3dc442381a46088850f206eca,19250697746793000000000,,,,,,
,11479146,,0x3f47cb7110b7fe04afbb55af7c9b0073db1e2188d104b271a443bb3a9f18c6f5-301,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,301,,2864066030722599247000,stakeDelegateds,,,,,,0xa57033c944106a32658321ec4248ae3571521e9e,2864066030722599247000,,,,,,
,11479147,,0x3b782f9408d0c9183a0fe4adcb4292945d5a468216faa892f9366d558cc8f106-96,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,96,,14925000000000000000000,stakeDelegateds,,,,,,0xd68dbee8b3f702d6efc5d1504e043cc852007b52,14925000000000000000000,,,,,,
,11479166,,0x78fd40ca9c2720e5b3e55e8cb2a2d32bdc97c9c96520c639764a273e3d98d371-157,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,157,,199000000000000000000,stakeDelegateds,,,,,,0x3d088b87c048e5fd4e3a6f9cc04490501b1dbae1,199000000000000000000,,,,,,
,11479195,,0xca7b40d86fcebd1fa3beb2614770d81c513d507a9ac1d044ec94694be731342b-236,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,236,,2207484109079750000000,stakeDelegateds,,,,,,0x4861a10ad69a7a6ca29384b21ca9b0f4d875af86,2207484109079750000000,,,,,,
,11479196,,0x4e69c024839290823ef4599dfb07d001f9aae77924c1c35c38b5e9afaf7e56d8-223,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,223,,199000000000000000000,stakeDelegateds,,,,,,0x741a9c2287e3f91d5f5e57cd3d0ccde375219109,199000000000000000000,,,,,,
,11479202,,0xb740dbabbcd2df0fcbfc9ceb07c61e281b06d28f359f177d6044ee41ddbb6485-264,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,264,,6505310000000000000000,stakeDelegateds,,,,,,0x81b4687d4193916aa6cf65360bf96b1e4279278a,6505310000000000000000,,,,,,
,11479284,,0xa197511e23cd3caec5418aa76484186588d448bcfee391e54fd3a7a78c6e8a8d-191,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,191,,99500000000000000000000,stakeDelegateds,,,,,,0x17080b589cdcbd10ebeaa24cb0096f4bb29eb52b,99500000000000000000000,,,,,,
,11479444,,0x059c2a8b505ebcac8bb51f697d1d8bf1e913853acb842ac393157db02789c3f3-195,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,195,,447750000000000000000,stakeDelegateds,,,,,,0x3727321b9b1318c2716b743e4eea28e0c8fc7f58,447750000000000000000,,,,,,
,11479758,,0xdadfdc603c45a858640fc51bad13fbb74b4598647d01355c4503522b33efe6bb-228,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,228,,597000000000000000000,stakeDelegateds,,,,,,0x8173fe6e01d386eec497a2e9dd79320b8e0a14ff,597000000000000000000,,,,,,
,11479790,,0x6a80d0980fa45743392f5a2e6b3fc42a2d5e24b68bdc9141e3a1e31bd80cc285-174,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,174,,18075758597915281250000,stakeDelegateds,,,,,,0xfe7c442da0297313444b919ba17ca666d631d121,18075758597915281250000,,,,,,
,11480009,,0xe20432716f5d7100345ede96eddc62b2352bc448624ebbba01cac7f37ab0ae16-67,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,67,,4409893939860605095000,stakeDelegateds,,,,,,0x45408879d7beee608011aac2790b6aaa95e30b55,4409893939860605095000,,,,,,
