allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,13026219,,0xbe82d21cdab7a5044f19597efc4eddd87f4a189b72504303191100f7e4b2ba53-411,0xd133fd8e0607f5d82c91626140495ea0a31d0398,411,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x8945180725b9ad037593de4c39b07e79a183d1b6,8333312500000000000000,1628982590.0,265.0,,,,,
,13026252,,0x2bd0c125e38c6d47a971f764622961f3d299bb36e9d84be753c2bce1e134b0cf-255,0xd133fd8e0607f5d82c91626140495ea0a31d0398,255,,10416625000000000000000,stakeDelegatedLockeds,,,,,,0x1c511a16730221e5189a599e87a5bf64beee2cf6,10416625000000000000000,1628982982.0,265.0,,,,,
,13028395,,0x7aa116989c3f3db9ab3aa69daa2f82714d8c2ea09c2bc3dadb69f390ba7c5da0-240,0xd133fd8e0607f5d82c91626140495ea0a31d0398,240,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x48392a1624585c7462943108bd7622e941bc4be0,8333312500000000000000,1629012626.0,265.0,,,,,
,13028395,,0x357f51b622be7670fa3b017800fbc5284b4b02da1ee8097f98b0406915b9cd52-442,0xd133fd8e0607f5d82c91626140495ea0a31d0398,442,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x1d096f6144d872fce1fb9e05c1a93a81c3a7bbbb,6250000000000000000000,1629012626.0,265.0,,,,,
,13028396,,0x50093d3c3e7413d32d71e5d1081d6350872185a6bb9033d7d5449496d0385185-248,0xd133fd8e0607f5d82c91626140495ea0a31d0398,248,,10416625000000000000000,stakeDelegatedLockeds,,,,,,0xef948997e050159a6fb17075edb04aad0c262fe2,10416625000000000000000,1629012636.0,265.0,,,,,
,13028416,,0x3ae460f6f9b5ed1f03c5c626869312ae4581d6fa8dbf5834928a8426b53b07c5-387,0xd133fd8e0607f5d82c91626140495ea0a31d0398,387,,10416625000000000000000,stakeDelegatedLockeds,,,,,,0xd10720cdd6eff484f5d3b369b0d58dccf9990a21,10416625000000000000000,1629012905.0,265.0,,,,,
,13028418,,0x077cc61713bd5dc4c0c8bbc28b796e341341ebcb19fedd5ab9f20332d893c399-418,0xd133fd8e0607f5d82c91626140495ea0a31d0398,418,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x7c79b2df88a1dd86c900970db279ff5ba11d99b2,6250000000000000000000,1629012924.0,265.0,,,,,
,13028426,,0xec7d9f1468019e0473ff1a0bffca1eece0058909254e443dd985bfe5e0881c84-391,0xd133fd8e0607f5d82c91626140495ea0a31d0398,391,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x06f18d8c075e23384568917f3ac7e5f5eaf59f3e,6250000000000000000000,1629012999.0,265.0,,,,,
,13028426,,0xbe8909c130bc320cf32488f3ceb205357fe3d84e2591c12ca14abf228422db71-456,0xd133fd8e0607f5d82c91626140495ea0a31d0398,456,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x19d618ed1b5e14fb423228c74eebac18e0906177,8333312500000000000000,1629012999.0,265.0,,,,,
,13028541,,0x4a8ebe655a8bcc94951aadfbe3fd5c5192001b55623aa3a820c120a08636f69d-474,0xd133fd8e0607f5d82c91626140495ea0a31d0398,474,,10416625000000000000000,stakeDelegatedLockeds,,,,,,0x93dde9b66cb8b5fa8454ee9c289e065a042bf903,10416625000000000000000,1629014356.0,266.0,,,,,
,13028541,,0xa8c27c501e073e4aa1b002320a867096e50e1a091fa02b212b5395b3b5c2dcff-595,0xd133fd8e0607f5d82c91626140495ea0a31d0398,595,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x17f3d60b6201fdb6306a5816afe9cafe1fcf5567,8333312500000000000000,1629014366.0,266.0,,,,,
,13028932,,0xe8d82af07f9b6208285b8c58adfe71dfa6ac40ef94b62e0162d90e19773900aa-529,0xd133fd8e0607f5d82c91626140495ea0a31d0398,529,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0xd909b5ef62b01b49636519dd06699f05c89cdf66,8333312500000000000000,1629019837.0,266.0,,,,,
,13031003,,0x2d568d292523ba5ecf863a18122e9d6fcda25a752f4556426d894dfcc95c4193-357,0xd133fd8e0607f5d82c91626140495ea0a31d0398,357,,10416000000000000000000,stakeDelegatedLockeds,,,,,,0x68df5db92785b9f1614d69c6364fc5adad8b8e40,10416000000000000000000,1629046919.0,266.0,,,,,
