,id,subgraphDeployment,fisherman,deposit,createdAt,closedAt,status,tokensSlashed,tokensBurned,tokensRewarded,type,indexer,allocation,dispute_time,dispute_days
10,0xf6dd49f420750111fe0ec51b4e5c4f175ce2a65a864d6f714e7c2ef66829031a,0x1c153b5e9ba74823153c451300a053beb9dcdef20549b22901ef1d502e21d8eb,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1627293108,1629409169,Accepted,28665794068751852085844,14332897034375926042922,14332897034375926042922,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0x0b089eeed8cf24c41f9e74cc750fc654eb5f0fc4'},2116061,24.491446759259258
11,0x274b39de33d7cf9f4e9feaf3331f56078b0546884aecae156a1f292d42412af8,0xc35cbc58760eae95e5accbd7f866dfb1f89060482b4feb525b795259cfc220aa,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1627293130,1629409169,Accepted,27250420486607229389106,13625210243303614694553,13625210243303614694553,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0x30740c34017407cc939e559b2bbe96b711e3d088'},2116039,24.49119212962963
12,0xa2f6ba08ec3ad3e04c4f3ec2ed4344ebb32ba867923ec14b14e46311d954ff59,0x6265679b3f40b30663c7e6f27828c5b1df274b0f422aeede33ac2008100a4df9,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1627293130,1629409169,Accepted,27949149217033055783698,13974574608516527891849,13974574608516527891849,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0xd9036a08e37d0810451a2da60056c1cc935069e7'},2116039,24.49119212962963
13,0x68982a39c7cd4ccc1f22e2bd00de0de20b06cd3e19cb3a65d931d7af410e05e1,0x69c184d914985b6681499479840877426f9c1c3e369ba618d8e32a1ea65ff63b,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1627293158,1629409169,Accepted,26569159974442048654378,13284579987221024327189,13284579987221024327189,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0x347032a87c92a79f3eacbf2f4262dbb7eba5165d'},2116011,24.490868055555556
14,0x21309e1849923a4e6997280130907daa7cf3e087438b0d23fc01e578e0461dc2,0xb71738e2cfee4a013449cd09dd89fc1eeb2ead8941e2a8a006d1db605d761d26,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1627293183,1629409169,Accepted,25904930975080997438018,12952465487540498719009,12952465487540498719009,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0x73f3810a241d4966f18d0427d5244afec9f2ecf1'},2115986,24.490578703703704
15,0xe3452fc83b16ed48b28cf5bad86468f39036153cfd3b6226ff6e4244482208b3,0xe5dcb1e44a93ed102fc85a44fa43f9495ad2d0c9ec6146eaf03361d7477de640,0x3ac79720b9217294f45246131baea1210145aa2a,10000000000000000000000,1627935418,0,Undecided,0,0,0,Indexing,{'id': '0x671bc7a0ffa02b0ee90ee03bcd11915df011503a'},{'id': '0x82a014078d958f7b33af32ab4c86094ec5b4f20e'},Open,Open
16,0x0a22438a4ea992b997c8f3d49aa1117a0b970c71792378b2755aa2091c4b3e6b,0x014e8a3184d5fad198123419a7b54d5f7c9f8a981116462591fbb1a922c39811,0xb25813a23c3cb8852133416ba6adc30552880dc3,10000000000000000000000,1627983551,1634589571,Draw,0,0,0,Indexing,{'id': '0x040a8ae130b5fbac973074aa1bd2c69773c5fbc2'},{'id': '0x397fc82a1b0b5ac97c909fdac2e9b79a68c2cbb3'},6606020,76.45856481481482
17,0xd7fd2fa916c7690bbed5b7029e5ee0c9f2775acce5481175314df1d0f279adb4,0x014e8a3184d5fad198123419a7b54d5f7c9f8a981116462591fbb1a922c39811,0xb25813a23c3cb8852133416ba6adc30552880dc3,10000000000000000000000,1627983766,1634249517,Draw,0,0,0,Indexing,{'id': '0x63c560997b8338f2b033f3ffdcc0f7c680feec45'},{'id': '0x803371de0fce2d6d3691e0467886e8ff71460dad'},6265751,72.5202662037037
18,0x1f8ea05671b4259d00659e3b0e4ec2cb2209749873b250bf9cd559030e109d04,0x608bf8172b4ee1cb2c875cedf006938aedf944cb5692e2d264751f7598486ab9,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1628030458,0,Undecided,0,0,0,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0xac8773569201ffa1674072b877ce2ce627b5ed83'},Open,Open
19,0x6767529c707d94688d7f1951f4d2304ebf48f368f26e0c71d0ff30686eaa7531,0xa58a4f4cddd456c0fcaac7666a3a436d51bb5499ef73cef7d6e3fdb318dcc2e0,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1628030458,0,Undecided,0,0,0,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0x15380014b3313e172b363c707b8bb961110ecbb1'},Open,Open
20,0x3cd2fdf99d3d8612c8a1d205c96bb2b7e0cffbf7f95249e0f549a59f071e9543,0x014e8a3184d5fad198123419a7b54d5f7c9f8a981116462591fbb1a922c39811,0xb25813a23c3cb8852133416ba6adc30552880dc3,10000000000000000000000,1628317998,1642102741,Draw,0,0,0,Indexing,{'id': '0x81dd719fd7efb19d12740b8057c0e363bee35b4a'},{'id': '0xffa87a5a036c874d424ee675dfec6b9950fbf77a'},13784743,159.54563657407408
21,0xacb9026d7aba202bdf26776d7b21bbc8215282f39d10a06b2dc20e6a36d2207a,0x1d69c84478129a01ca1ab08c2337e640ff42d959637f21f8f2414cb7512086fa,0xec022aa5960c97764237f3dde3ed4065dd7ecf2f,10000000000000000000000,1628329849,1642102741,Draw,0,0,0,Indexing,{'id': '0x453b5e165cf98ff60167ccd3560ebf8d436ca86c'},{'id': '0x7bb9cc693a6e1523fee00b99f4f405dd3df4f876'},13772892,159.40847222222223
22,0xb856a651b6ceec4d41f3903ca84544b32ccc452eedc5a4de2a523984b09cb2aa,0x1d69c84478129a01ca1ab08c2337e640ff42d959637f21f8f2414cb7512086fa,0xec022aa5960c97764237f3dde3ed4065dd7ecf2f,10000000000000000000000,1628330550,1642611953,Draw,0,0,0,Indexing,{'id': '0x453b5e165cf98ff60167ccd3560ebf8d436ca86c'},{'id': '0x26a964d7fd08092c4b5088e196e6519e3e9f4880'},14281403,165.2940162037037
23,0x9c02325bbec827fdeaa3d3b988183667b4d3a48c0cd51ebd4b91d3f8e162be28,0x014e8a3184d5fad198123419a7b54d5f7c9f8a981116462591fbb1a922c39811,0xec022aa5960c97764237f3dde3ed4065dd7ecf2f,10000000000000000000000,1628523088,1642102741,Draw,0,0,0,Indexing,{'id': '0x8e297141f9dc76f4d71741da1a1e47294cf0fde2'},{'id': '0x4437a474ccaebdaecf6f3f6073efdf81cfe4b390'},13579653,157.1719097222222
