,epoch,allocation,signalledTokens,stakeDeposited,totalQueryFees,curatorQueryFees,totalRewards,endBlock,s_burned,cumulative_tokens,cumulative_tokens_with_burn,total_supply,total_supply_with_burn,signalled_total,signaled_total_with_burn
14,14,52207531.421114,0.0,22660.316238507075,75.5065231671065,7.4751457935435415,53171.526169222605,11546458.0,0.0,52283446.24519069,52283446.24519069,415142732.2883734,415142732.2883734,24492.042510383446,24492.042510383446
15,15,88784481.54363206,0.0,206061.8833120117,57.996828283115946,5.741686000028479,101155.1496563581,11553104.0,0.0,89091762.3151147,89091762.3151147,504234494.6034881,504234494.6034881,24492.042510383446,24492.042510383446
16,16,46008007.135323495,0.0,395262.16168530926,73.17897461479527,7.244718486864732,43171.09471219632,11559750.0,0.0,46446520.8154141,46446520.8154141,550681015.4189022,550681015.4189022,24492.042510383446,24492.042510383446
17,17,62018150.37162386,0.0,343586.87148732494,0.0,0.0,60425.34070819348,11566396.0,0.0,62422162.583819374,62422162.583819374,613103178.0027215,613103178.0027215,24492.042510383446,24492.042510383446
18,18,160576451.959246,0.0,50870.15275594475,0.1322337812534962,0.013091144344096126,158505.58337098526,11573042.0,0.0,160785827.84069785,160785827.84069785,773889005.8434194,773889005.8434194,24492.042510383446,24492.042510383446
19,19,47539927.71638399,0.0,153265.6426147579,80.33091645781334,7.95276072932352,42156.19010825293,11579688.0,0.0,47735437.83278419,47735437.83278419,821624443.6762036,821624443.6762036,24492.042510383446,24492.042510383446
20,20,70328374.32594,0.0,32907.412985604235,130.81395743179368,12.950581785747575,61883.02761081702,11586334.0,0.0,70423308.53107564,70423308.53107564,892047752.2072792,892047752.2072792,24492.042510383446,24492.042510383446
21,21,68132684.58798303,0.0,34051.25341262892,0.0,0.0,63554.4367491503,11592980.0,0.0,68230290.2781448,68230290.2781448,960278042.485424,960278042.485424,24492.042510383446,24492.042510383446
22,22,83044837.27850999,0.0,32474.47030747038,52.77168678888994,5.224396992100104,71248.6823811042,11599626.0,0.0,83148618.42728235,83148618.42728235,1043426660.9127064,1043426660.9127064,24492.042510383446,24492.042510383446
23,23,59408607.52921843,0.0,185714.3720420951,89.48597237352291,8.859111264978768,47797.17907490258,11606272.0,0.0,59642217.42541906,59642217.42541906,1103068878.3381255,1103068878.3381255,24492.042510383446,24492.042510383446
24,24,53151903.48511846,0.0,242221.1580283486,95.43089373366608,9.447658479632942,46182.45162958666,11612918.0,0.0,53440411.97332861,53440411.97332861,1156509290.311454,1156509290.311454,24492.042510383446,24492.042510383446
25,25,85028988.8923702,0.0,28317.410822684866,0.0,0.0,67999.36893984766,11619564.0,0.0,85125305.67213273,85125305.67213273,1241634595.9835868,1241634595.9835868,24492.042510383446,24492.042510383446
26,26,101101777.19912799,0.0,13411285.082709841,0.0,0.0,76190.25246394919,11626210.0,0.0,114589252.53430177,114589252.53430177,1356223848.5178885,1356223848.5178885,24492.042510383446,24492.042510383446
27,27,72236730.62544744,0.0,151792.04384054977,0.0,0.0,46068.62207501775,11632856.0,0.0,72434591.291363,72434591.291363,1428658439.8092515,1428658439.8092515,24492.042510383446,24492.042510383446
28,28,110914804.83262262,0.0,22129.28644354977,0.0,0.0,75615.78731958572,11639502.0,0.0,111012549.90638575,111012549.90638575,1539670989.7156372,1539670989.7156372,24492.042510383446,24492.042510383446
29,29,129340950.46431467,0.0,113842.94808117475,3.3365328986486205,0.33031675696621343,75436.63951712806,11646148.0,0.0,129530233.71876262,129530233.71876262,1669201223.4343998,1669201223.4343998,24492.042510383446,24492.042510383446
30,30,118003051.62155508,0.0,40703.62040334369,0.0,0.0,78387.50880786279,11652794.0,0.0,118122142.75076628,118122142.75076628,1787323366.1851661,1787323366.1851661,24492.042510383446,24492.042510383446
