"blockNumber","address","totalsupply"
"11892050","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10038663126.008111463208863543""
"11898696","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10040003013.434061225220926712""
"11905342","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10040301879.427473233386560681""
"11911988","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10040521782.012719806314144779""
"11918634","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10040831959.822259865399785842""
"11925280","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10040472587.690397316700349677""
"11931926","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10041010807.230325548312526756""
"11938572","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10041279810.19562947138308366""
"11945218","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10042593941.944182323609575203""
"11951864","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10042870938.363130742044708133""
"11958510","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10043209749.649694068474665948""
"11965156","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10043663929.054952771125088352""
"11971802","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10044021092.445928721981061472""
"11978448","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10044563124.968213423352373612""
"11985094","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10047406243.349975958427833236""
"11991740","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10048671078.254476638768202292""
"11998386","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10049191458.787802759719639715""
"12005032","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10050046117.864032644556681599""
"12011678","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10051250409.953715211585630776""
"12018324","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10051452302.757036766635259792""
"12024970","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10052075109.986103881144055463""
