,id,blockNumber,signer,type,nameSignal,versionSignal,tokens,subgraphId,subgraphDeploymentID,subgraphversion,subgraphname
342,0x15004c71463c1c2ff10a938cb02a0a510e5fd47df89afd2bef7984f42013bdde-163,12789683,0x86b6ec7efe1cc65cb1f33f57a9358c35d86681cd,MintNSignal,1452180581742976768,1452180581742976768,685000000000000000000,EjtE3sBkYYAwr45BASiFp8cSZEvd1VHTzzYFvJwQUuJx,0x45a6851c2f977fc91a390eb6f4c67a035296581244bc83cf8b74c5371f438436,0,ENS Protocol
343,0xd2cc4558f3257fcbbfe12fc01469c1c9c93aaaec1c8bc6bbce1307b2982de3ed-149,12789684,0xad6a5dd6a8c4e4f0b81c9a56316827067e6b93a6,MintNSignal,797465439947340227,797465439947340227,700000000000000000000,41LCrgtCNBQyDiVVyZEuPxbvkBH9BxxLU3nEZst77V8o,0x2aaeb45afa62af1cc8f6d61decd5249429e0aaed67996238adc2bfd396b5f715,0,UMA Mainnet Voting
344,0xa6dc11e492646639fd2d3ee172e0fc3835230d0fffa5b63de7bc41e35b351ffb-338,12789685,0x4c86279e0248665c93ece5d8bdb721f69e04b8fa,MintNSignal,1269997355729721447,1269997355729721447,1292345666773109119458,FDD65maya4xVfPnCjSgDRBz6UBWKAcmGtgY6BmUueJCg,0xbbde25a2c85f55b53b7698b9476610c3d1202d88870e66502ab0076b7218f98a,0,Livepeer
345,0xdf238463af9a3586955dafb7a928971b7ee93e0141f71994e66641861a6d9e46-234,12789686,0x8b69826eb6fcd04e31bdf7ac6fb84220ceb6428e,MintNSignal,5090597582234226366,5090597582234226366,4500000000000000000000,41LCrgtCNBQyDiVVyZEuPxbvkBH9BxxLU3nEZst77V8o,0x2aaeb45afa62af1cc8f6d61decd5249429e0aaed67996238adc2bfd396b5f715,0,UMA Mainnet Voting
346,0xc033be7edc3766656689b02442edfff0da5a3b78e20a3edd7e384e40f643dc18-257,12789688,0x9ab301fd4f2519af93ca316b4fcd7d26abd2f9e9,MintNSignal,840715950166085652,840334395101588742,685000000000000000000,CptFsHp6zar7kdfGYbVAqMeF1wNA1pJs6GaaJvPgeCfu,0xc064c354bc21dd958b1d41b67b8ef161b75d2246b425f68ed4c74964ae705cbd,1,Audius Network Mainnet
347,0xcc669aa8bc022eff36dc9f3e0dd6db8a5e3bea708180a72d65e762074a5d2aec-300,12789688,0x9c82b35a23ba4acea56993a6b074d5ffb9d63ade,MintNSignal,29544065880136690420,29544065880136690420,20119529573864388222811,GLkfL4GEXKT1Vg3CGTrCdwr2UJ9w7u7vngJ8DoSmouFK,0x42ca391b2466a83fc073fa8743ba0df9802e99e70022bd3be5f62334bade8d83,0,USDC Protocol
348,0x8ab1bdc3bb8c42530fe5ced41ca406a56c42bef9bf5f021d7df1f176e6af64cf-188,12789689,0x6bf7550bf182b8428e2cf4fc640ed884ff8c7a57,MintNSignal,4649780763054183846,4649780763054183846,3500000000000000000000,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
349,0x87dac224c80b027a6d24415a124056ba27f6d922b07ace42d00ac24ba342b2c7-226,12789698,0xad6a5dd6a8c4e4f0b81c9a56316827067e6b93a6,MintNSignal,922947977536726219,922947977536726219,700000000000000000000,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
350,0x88aa4e4f8054593a09f67187a13182e4935942052f6a0c19a01c23eeec886771-75,12789701,0xcaff387ee01c8e7df17a4ba415f26899aab32b90,MintNSignal,25005561815371364452,25005561815371364452,19630181802855116439553,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
351,0x0959350c227c7ce2fc9fe5c27b41af3691102104d46a0672b2623aa548a26951-96,12789703,0x76340a7c034195c61a04ca70c26fa40c53562925,MintNSignal,20244653251162442434,20244653251162442434,10000000000000000000000,EjtE3sBkYYAwr45BASiFp8cSZEvd1VHTzzYFvJwQUuJx,0x45a6851c2f977fc91a390eb6f4c67a035296581244bc83cf8b74c5371f438436,0,ENS Protocol
352,0xda2ec60e0271fbbcb149255ba8c3e5600e5bb86646c8883abdeae1282a094065-112,12789708,0x4ffb72b66eba24521736924f87dfe10677d82286,MintNSignal,616286143579019261,616286143579019261,500000000000000000000,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
353,0x8fb9a5c40d7ff02a6e37b0de547bd9f1c4f3b356c2cc2f0f717f0385af28e46a-151,12789709,0xbf33281382a114d5a8d8122a9fda04d8cd51d55d,MintNSignal,29677738797677118695,29677738797677118695,25000000000000000000000,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
354,0x53326e7ddf5f007ab2fc8312fcfeafabfca2a61dfaab96bf86a4eeb2c4c4e0bd-256,12789711,0x4ffb72b66eba24521736924f87dfe10677d82286,MintNSignal,969526395977779148,969526395977779148,500000000000000000000,EjtE3sBkYYAwr45BASiFp8cSZEvd1VHTzzYFvJwQUuJx,0x45a6851c2f977fc91a390eb6f4c67a035296581244bc83cf8b74c5371f438436,0,ENS Protocol
355,0x7ac82ba9ee5319393c85dfc15be9226fae46ebbaccdfe79b808cd439a319bbaf-294,12789711,0x4ffb72b66eba24521736924f87dfe10677d82286,MintNSignal,114555615631849427,114555615631849427,100000000000000000000,2x1zbcjLiHYb5pz4n6ULjJAsKLLKgNB1jcBHxjj6UKKm,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3
356,0xd8ca8d10502dfbdaa4721258130e13533e56f7aeac7d8808307dbd6c187ef6bf-338,12789715,0xbf33281382a114d5a8d8122a9fda04d8cd51d55d,MintNSignal,4792708630655911805,4792708630655911805,2500000000000000000000,EjtE3sBkYYAwr45BASiFp8cSZEvd1VHTzzYFvJwQUuJx,0x45a6851c2f977fc91a390eb6f4c67a035296581244bc83cf8b74c5371f438436,0,ENS Protocol
357,0x51b189f4e06b82518bbb53a7604f0100487ada233beae0cfc48e4245817fa110-334,12789717,0x134c07871bb1f407ce2ee798499e4cc4481acbc2,MintNSignal,961688770014572206,961688770014572206,685000000000000000000,GLkfL4GEXKT1Vg3CGTrCdwr2UJ9w7u7vngJ8DoSmouFK,0x42ca391b2466a83fc073fa8743ba0df9802e99e70022bd3be5f62334bade8d83,0,USDC Protocol
358,0xb215ce39fe674efb11e37b3631f8dec42b839b5bbd26e8d328ff04a3f4c5555d-240,12789721,0x56a38f34a7e1cc0e3ef881b55f2c69b40353ea30,MintNSignal,9966730574348081442,9966730574348081442,7211072650272380632694,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
359,0xab64c7b9adc769c86fc5ce4f9e0a355d2ceff29b7bbcf11960193267041d6701-65,12789724,0xdb33e85224b11765eb1f1dd81c3af181ae975962,MintNSignal,5563428713981268642,5563428713981268642,4000000000000000000000,GLkfL4GEXKT1Vg3CGTrCdwr2UJ9w7u7vngJ8DoSmouFK,0x42ca391b2466a83fc073fa8743ba0df9802e99e70022bd3be5f62334bade8d83,0,USDC Protocol
360,0x176c0f942dc701fbaf58d406c91cfeb4eca8af7c89c69897c2df882269061ba6-203,12789725,0xa9fb88a4066298548570bdd8ad2d1a773326765d,MintNSignal,1136993618959701427,1136993618959701427,600000000000000000000,EjtE3sBkYYAwr45BASiFp8cSZEvd1VHTzzYFvJwQUuJx,0x45a6851c2f977fc91a390eb6f4c67a035296581244bc83cf8b74c5371f438436,0,ENS Protocol
361,0x9bb11d595947c9943bb472757f2935379a0c2d7e314667b83aa78601e586264a-226,12789729,0x0e2ed73f9c1409e2b36fe6c46e60d4557b7c2ac0,MintNSignal,44952471334534995485,44952471334534995485,50000000000000000000000,6v8a77TMhCrSECtSdTAAitCnrqg7cqHuYSDfwoFLhDe2,0x4a008334f8e7ea21be223d15462084f51abcc0e6625f61de806b8456e67e603e,0,PoolTogether v3_1_0
362,0xa2e3c81c0c3622be9effffc63f80067dd51745d76ab62fb507aef2248eedfe1a-198,12789730,0xdb33e85224b11765eb1f1dd81c3af181ae975962,MintNSignal,4473989267385640381,4473989267385640381,4000000000000000000000,41LCrgtCNBQyDiVVyZEuPxbvkBH9BxxLU3nEZst77V8o,0x2aaeb45afa62af1cc8f6d61decd5249429e0aaed67996238adc2bfd396b5f715,0,UMA Mainnet Voting
363,0x413e39e6409e2a7a20aa9bb1ac8109bda618bc21b6536000d3cefd78f4af68db-226,12789733,0x110772f7472b56a1ab844051260b9416fe30245b,MintNSignal,3433083756517527379,3433083756517527379,2500000000000000000000,GLkfL4GEXKT1Vg3CGTrCdwr2UJ9w7u7vngJ8DoSmouFK,0x42ca391b2466a83fc073fa8743ba0df9802e99e70022bd3be5f62334bade8d83,0,USDC Protocol
364,0x0c7d72de117d0aeb0d08da65d038f8632b3df6ddf8a5186b6b17d91f9a27bdd0-54,12789735,0xb6941a32218bd6a34ca3d80b6a9ca20b75e50a6d,MintNSignal,932362335725778317,932362335725778317,685000000000000000000,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
365,0xf4386b60d81aed3b5819301dd346d370a963d4eb19333a870e6d15c39bf691c0-224,12789743,0x110772f7472b56a1ab844051260b9416fe30245b,MintNSignal,3382408388000485455,3382408388000485455,2500000000000000000000,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
366,0x5f83e6cc80b020a47c0b355942d9438a72e2cc54088a141c2ca3def9ef7f3ce3-122,12789748,0xad6a5dd6a8c4e4f0b81c9a56316827067e6b93a6,MintNSignal,856678730469211933,856678730469211933,700000000000000000000,GxV9XL6Wnjz75z919NPNdrLhEkqDR99PweUY3oh7Lh94,0x969f6c63e40c58d6836ce6afb2b71417e34c86e50bacf5d3d4c3aa2fa81c5c17,2,DODOEX V2
367,0xb37f9be9f00fdd3e3dec23a7c2031b7802aecf7d7a8300bf772f88db3a4500c0-39,12789751,0xdb33e85224b11765eb1f1dd81c3af181ae975962,MintNSignal,4860078346232323417,4860078346232323417,4000000000000000000000,GxV9XL6Wnjz75z919NPNdrLhEkqDR99PweUY3oh7Lh94,0x969f6c63e40c58d6836ce6afb2b71417e34c86e50bacf5d3d4c3aa2fa81c5c17,2,DODOEX V2
