id,blockNumber,logIndex,indexer,amount,epoch,type
0x80999fd8449a8e77b1c4f6819cf83f8b90eef74ddc2253965da6a24cc9639b6e-71,11493331,71,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,2313526444811261518860,7,rewardsAssigneds
0xc132df22b1dda5c1b58752dd3950ff34c2a0adc71cbbf066847cf95b6ed03b08-181,11493359,181,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,3381486387543408000000,7,rewardsAssigneds
0x3b2638d84b10914bad40bc6709a333f89ad3e6e3dcd7a70d7adfe64a1ccfb593-136,11493361,136,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,3384128843976798750000,7,rewardsAssigneds
0x92b176601d09715276c724bd29f9f2eccec49bcdd1620e250ddbfd47ae7443ff-149,11493364,149,0xd9c7cdf09d868467d9f94f885dd68e850e278118,201020714077155280000,7,rewardsAssigneds
0x23271faa4b643ae69173a1de1c1b0894edf923bafb06abad735a035b26be04fd-253,11493461,253,0xf3f182e859f789af8d6c2223d15c691471c79a2b,3962949043456254600000,7,rewardsAssigneds
0x8b1b91ae89d851d1b9487a26c83dbeee091a4e6610f614cab90f879cfd68bfd2-226,11493462,226,0xf3f182e859f789af8d6c2223d15c691471c79a2b,3963973112385431400000,7,rewardsAssigneds
0x27ebca53e399bd6bc761e8a800060439af5a3dafdd9c525b95769e46b3f7f405-161,11493466,161,0x45874192929530cd4e3dd0624df05bee3c13974f,6091761455734920129373,7,rewardsAssigneds
0x77b8d3d36a485aa6aa7777501b2a375f592b64d8e8e284d8c3e95ca666760aeb-111,11493467,111,0x45874192929530cd4e3dd0624df05bee3c13974f,6091162828169732949768,7,rewardsAssigneds
0x9d6772c2bc004c03a0148458efb1bd06505fe92288258fada7ae0b36d749a661-299,11493470,299,0x45874192929530cd4e3dd0624df05bee3c13974f,6096941802694016784301,7,rewardsAssigneds
0x6d435c1a536726c7357ae039126e2165089ac39a81dbb5a6b2770156c889cf80-284,11493476,284,0x7ca0ee4a792f4da7b6aaf4c082b234259de61112,7191284819711444800000,7,rewardsAssigneds
0x7c1a0b25cb5e126a8ea8974df34633d4b983aa3ee142778a1ca0ae22b790613a-64,11493609,64,0x7fd833cf8775e9c3524b8be925723345164964be,1794076252332302000000,7,rewardsAssigneds
0x9160caba56a6f0995625cb68ad029e4134d0283baafb53c655d5583f21c32cb4-304,11493611,304,0x7fd833cf8775e9c3524b8be925723345164964be,1802804941715967000000,7,rewardsAssigneds
0x3bce2918cc49b04e70112c089f0114cf5978f52b096fdf2edc76135c796463e3-1,11493645,1,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,20683380780226663800000,7,rewardsAssigneds
0x8ec2f5449a61ea914dcf449b7a86ca615a62958ce1f00908c59f3629e0295977-288,11493680,288,0x4fedde33607cfda2c82a999accb427d1170987d9,15586382214902907535296,7,rewardsAssigneds
0xd5a37973715cfaf363444740271bf0be2e140b562d35fdbf6d76fc8cf68528e9-139,11494639,139,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,3281302738805950831200,7,rewardsAssigneds
0x0083cc71f945adde81aa1028e671b4bf922da8debce0db37b7fa2457fe2d107f-125,11494648,125,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,3707371326093311681298,7,rewardsAssigneds
0x9ff8dbf254595744ebdd01a11114b31d4699541fa52fb98497be85c275dfa33a-167,11494852,167,0x362717d3fa1bfe457535b9b716f450b95a858217,80020834578216010458,7,rewardsAssigneds
0x1c20e8a96eeb5e4070fad808c91b2b74c9b43151f1d5d3aecbc2be1d29e95bb6-90,11494853,90,0xbfe2a198cb0cdfb50fb03cd932c7387ddb0d25aa,9042320060908008585348,7,rewardsAssigneds
0xe6136927f8fa150625c35ec506e7af6f53f7ee8ffb434c712936bbffe54fbc01-70,11494853,70,0x362717d3fa1bfe457535b9b716f450b95a858217,12063410044858408240000,7,rewardsAssigneds
0x72b0caeccd9e145685593f1de842a944b04c3774a03cd1e9e297af9ee3676b86-215,11494878,215,0x4ac761592d1f948058843121133d048dc7dfc7c0,8592159363747197752830,7,rewardsAssigneds
0xc71eaa2ce48fed61e83fff4ef8dac51505e0b93089372cb65531d58c6ce7cb10-27,11494880,27,0x4ac761592d1f948058843121133d048dc7dfc7c0,8896881172515576400000,7,rewardsAssigneds
0xb51dfab682015c5a705647117751689f871fadef65bf861056ec3d67a60dc3eb-209,11495219,209,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,15085715300139664625940,7,rewardsAssigneds
0xcd143fcfd29ff89b29f26c64479c7067d78812672d572559f621dc7dbbfc9db2-200,11495220,200,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,15106406806361834833914,7,rewardsAssigneds
0x83892b86f5abea9436a43aacfbc48b9b41057379cd5d01e793b43e20e8d9b233-68,11495246,68,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,18749733754561175092521,7,rewardsAssigneds
0x79464cb7f8b31797b4da00edbe3551ec7f4124c2f1fadf62334346e32235c729-35,11495247,35,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,49891902745402016057010,7,rewardsAssigneds
0x4aaacb04826130175ca13773be6f2fbaba4005d70b4e570aeb0457d783a0d8c4-45,11495249,45,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,18749200561294814631297,7,rewardsAssigneds
0x2f570e3222c1021d30dd2c56c95ccf185a8e38e99ea767d4f722db70ad95c370-85,11495250,85,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,49891817848670854079448,7,rewardsAssigneds
