id,logIndex,blockNumber,indexer,indexingRewardCut,queryFeeCut,type
0x35e8949d64e774a5280d7a62d3b0380f2375c3747471ff4391463ab7ff2f2c04-44,44,12094685,0xf304928be241aaa4d3bc6b95328300b5691aab9e,789805,789805,delegationParametersUpdateds
0xcffe419986d232170ee9c17280af274ff963b0828ac8552c2867996bda16eaa1-131,131,12094692,0xf304928be241aaa4d3bc6b95328300b5691aab9e,709805,709805,delegationParametersUpdateds
0x67c381e4960e0fcfbab1a9b0d9b701fb7080bf721008210068c5b8f235cf241f-168,168,12094738,0xf304928be241aaa4d3bc6b95328300b5691aab9e,764585,764585,delegationParametersUpdateds
0x51fd6c554e18fc35da81ad1f6e71ab64a153c2fa235261fd61f791bbae0497ae-94,94,12095520,0x4bbfbd1320093858d877ab0c8cd91ef0ce065318,500000,250000,delegationParametersUpdateds
0x6400f7cb3e41295ddd076606fa8d037f63574d8fc6f1d42a0dcbf8330e7455d6-96,96,12095549,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,175075,750000,delegationParametersUpdateds
0x9277eef1eee8754b94f0843dfa572231c791f47a61681eba32927bfa460bbeff-324,324,12095791,0x27ca9cf008a217e828b4b39945034ff8450730d1,500000,300000,delegationParametersUpdateds
0x9e3b4c68bb20f7673f435e1dd6131b04198c73625382a59cccb9a3d8bdd3f695-281,281,12095981,0x8a1729fe84c53c231c7ae53a5bec3f6e9953cb4b,184000,184000,delegationParametersUpdateds
0x5729c4b35ac713bd28a2ed7c19d0d34abb38dae0a6ad9fef9124d75b48e2004f-154,154,12095984,0xbb784d9b398271b7a64f975bebde869409691915,172600,172600,delegationParametersUpdateds
0x5721e9cb8020b7f3ecfe713d6318e703f932bc123f2a4ef111c4b32ead75c563-237,237,12100950,0xce9df315e4780fed7894bcbcbfe2e34f0f804df1,1000000,1000000,delegationParametersUpdateds
0x0bf038453b8e1d46dbb0ebfd302459492b7469679e8046432b173f7878474894-89,89,12107219,0x4c059ccb00e504b4472f8fbb0d2556f165bdbb3b,119000,119000,delegationParametersUpdateds
