id,blockNumber,logIndex,indexer,delegator,tokens,type
0x2aa8b018e53bd2240ce33671cb341866fa83ab7a8eed557e09d61fa6c7b2556e-143,12999180,143,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0x0fbaaac9d4e870bd9b09e3abbff04488153c2478,7088187808549043001211,stakeDelegatedWithdrawns
0x0d6ceb16bc2ec599035d75ebc49141d6ff6fe98ea619327450de2a2f240c3e2c-179,12999740,179,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x977acaee9bd726d2cdb1e6e2943a636dd65d73b1,9734323310216980495654,stakeDelegatedWithdrawns
0xddab36c1af91f77543d90cc306f383911cd9fa5b1da04e06166b4c10ea1776be-515,13000153,515,0x5a8904be09625965d9aec4bffd30d853438a053e,0xeb2b21ff36bf9e836cb6ee44fc4d052e5ef3377a,2043044411693601316801,stakeDelegatedWithdrawns
0x4ab5af7a87ffaddb94e3e934f1537ac3afece204c3fa7ce10d91ba0be3411f00-119,13000226,119,0xc60d0c8c74b5d3a33ed51c007ebae682490de261,0x8cb414df6a05c39adf36f82c162212295caf8382,19416466606563960908085,stakeDelegatedWithdrawns
0x9cd02fca336c7cc520c907e4fdedcc300e7294d0ae7ba0786ca0f72e4d0c9380-158,13000662,158,0x8f9793029b66325b70fffbfdf2b04d8491682466,0xb38c0777802c56064f3a87faa04545b73dbaf4f5,965528212927248933621,stakeDelegatedWithdrawns
0x533a0d980499b45620d87f6b1f18a90f914ce76a630676c4085a7dc13aebb6c7-317,13000951,317,0x5a8904be09625965d9aec4bffd30d853438a053e,0xca85c97e49d1022cf095adeba300662dc590e13a,1000000000000000000873,stakeDelegatedWithdrawns
0x7bb349f84d35f0971c2ccc26cc817e0d6dfc65735c8b24a66ece503dc25c60f5-374,13001283,374,0x4437e367cc68d87675148a9e4a1f052f0359c880,0x31da8f32bb76f0d2c1caa14b79087ca2fbe0277e,11053961409901206059840,stakeDelegatedWithdrawns
0x1806bbd66c58ba7c929c1f181d0d6887d743466dd6f757923f6e4503c8a57f63-470,13001876,470,0x5a8904be09625965d9aec4bffd30d853438a053e,0xc044ef6a1175b27b9023b14cfd90b3d21a46d604,2953550775201613658875,stakeDelegatedWithdrawns
0xa787623653907857cb8e961926840a99c77377e65c81f2ab6f8d4ce6446e4376-230,13002035,230,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0xe9eafb69feeab7299289963b1e7944d5d242d632,103236535083236154000455,stakeDelegatedWithdrawns
0xcdb2463081b824b6981b3176bea75cb85647a70614b4302a580c9814d0f2c24e-236,13002194,236,0x5a8904be09625965d9aec4bffd30d853438a053e,0xe2ed55d24988affd16bf13306ce594ba05224bfa,6000000000000000003637,stakeDelegatedWithdrawns
0xb946e1402d2db853bfc8034629cd43b228e2faa76eec7b08dcc1492342fd1c15-457,13003182,457,0x8a1729fe84c53c231c7ae53a5bec3f6e9953cb4b,0x8d6c22a4aced0b33a5ee85714ca8df17403c722a,4819101977919165069665,stakeDelegatedWithdrawns
