id,blockNumber,logIndex,eventTime,indexer,delegator,tokens,shares,until,type
0xa42899f3a5f7dc42922a5f9201c58696f916b0904c77e5faf690f94defc7824d-361,13100330,361,1629972395,0x5a8904be09625965d9aec4bffd30d853438a053e,0xc87f6f78341b8091bb21f9a79ae469d31b748b65,985900000000000000377,907269965512719825055,276,stakeDelegatedLockeds
0xc461c5dee4a75862619498363055e13853eb1d223a813549290821fc53590214-496,13100853,496,1629979244,0x5a8904be09625965d9aec4bffd30d853438a053e,0xbd322f7b485fe4ccf1eac91f915525e332345b64,1464658804369052046174,1347845565399950605992,276,stakeDelegatedLockeds
0x847e098da7f5f8a1e444f9189e9380bb234d522b1dd1b3a36e3a32b0b66e324d-342,13102767,342,1630004177,0xd68acbab921191a55faeb3d64614f54194604f99,0x01c86b84194d290ecc7fd9f20a1067be24d149b1,2438722313999999999999,2438587649110119825898,277,stakeDelegatedLockeds
0x0359172a3d2812ecca954c50a143ed38b0569c81dd63fd7d80a07e6949fb552c-192,13104212,192,1630023655,0x4d6a8776a164776c93618233a0003e8894e7e6c2,0x07b6867bb4a853a28d23d611820b9de41272c1ae,13341409848621516378131,12556372348958049235214,277,stakeDelegatedLockeds
0x160c12d878c993e0a543a41e2686504ae1afce2e62ac1f4fcc4082daef53b113-75,13105118,75,1630035633,0x5a8904be09625965d9aec4bffd30d853438a053e,0x8f01ce31da22ee7182200428b36b5dec5bfdaebd,10051429418385754910566,9247388371537010707327,277,stakeDelegatedLockeds
0xea1e71dcda798ceb5057b8c7bb1a2c79f99b3c14556c72172767ff9da2389909-324,13105898,324,1630045617,0x8a1729fe84c53c231c7ae53a5bec3f6e9953cb4b,0x40f0c990703351885a32d668a407a4491add7df5,8333000000000000621545,7354833610423392068121,277,stakeDelegatedLockeds
0x1d17d7bef96707dc699c6212e2f62c96a7fdd4fa419fca66271cd7916b582cc8-86,13107662,86,1630070654,0x39839abed87475422c5353256d17e08395c3af6b,0x59e63539b1a0781ae9875ac448d17d665c68a63d,1059385431206688425496,915550776849894340705,277,stakeDelegatedLockeds
0x04ec4c8920251b787d57c3850087468808a0af1a6b2958a98dc98d9094a520f1-226,13108826,226,1630085527,0x5a8904be09625965d9aec4bffd30d853438a053e,0x7047bc96f206b2ccbaaa5a5b5124e86c1ec7c81c,99000000000000000016211,91080722022240560929265,278,stakeDelegatedLockeds
0xa7a40f052012b3d69a7c23b6ac89ab147483949735cb23f58e8ee934a0aa549f-38,13109357,38,1630092762,0x5a8904be09625965d9aec4bffd30d853438a053e,0x7bdcb057735391d293c11945c5240434d1d85ead,173296262069268975788588,159433824980044832321272,278,stakeDelegatedLockeds
0xa3542fd5efdc7c4146cbd48bdd7b9aa93a67ddd599d0d94a16a7e7029a3234b8-102,13109473,102,1630094274,0x6dae84e4aed2c8708707b358e278408c2deb0397,0x9639d5c99fd542a17f224d00692c9dd32c987ea5,2715196088102560216253,2715174304957506499867,278,stakeDelegatedLockeds
0x39e3a5262e19393f7f4b157da4a9a30758ab128e8fbf95920e2e865f4a716410-351,13111812,351,1630125848,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x38953a3da4e1875cc74c8fbff6e790cfb41221f9,5200000000000000004413,4797829871113649737679,278,stakeDelegatedLockeds
0x6e25449eaa7f3baa9ce0ecf26c9057c8493f0fd6f5635f22dc857e2c8b4fb490-211,13111898,211,1630126756,0x27ca9cf008a217e828b4b39945034ff8450730d1,0x6bc5d6622c801fca4c3f2818787b8a16c4c27c32,16334177058211571142915,14925000000000000000000,278,stakeDelegatedLockeds
0xfaa437082db7b1e3be7c3b0d053e6a8d00e756b35444f662e033d6e8ba181478-157,13112335,157,1630132895,0x8f9793029b66325b70fffbfdf2b04d8491682466,0xb5a07dedef083d824fb4dc872d509fe0a04ba9fc,15183810277417583851422,14759821667035248505662,278,stakeDelegatedLockeds
0xb744c580ad8cf1c7a6bbcae75d3887f92b3f64f2a98111ccb3d4a4bb07333d74-485,13112347,485,1630133017,0x85fe868adf7f5950b052469075556fb207e5372d,0xd648355c2d88f8aef3fbb92540fb47dbeb2e082e,956632354925956966663,917997695710776046974,278,stakeDelegatedLockeds
0xc873458afe7954891518e43ba7ffee8384be9b65e361244490f0d3df2f26fb59-280,13112448,280,1630134457,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0xbe38f1f6e32cfea8c54bf33d73ddaf8455b3e866,10000000000000000008488,9226595905987787957076,278,stakeDelegatedLockeds
0x5e9df259278f6a333268e32214660b0974ef538fa47343281d8cb17818e186fa-197,13113555,197,1630149571,0x79c813f6b6a84b4ab7258db617612f06bde25498,0xc43f2ca506f6feb4dbfdf8c0ac1e63172dcf538e,1315000000000000000296,912648615469240180708,278,stakeDelegatedLockeds
0x13d9899a86ea276c6a040c8524ee1a38a34cb073856a474eaff76a4b66f010de-299,13113596,299,1630150037,0x6ac85b9d834b51b14a7b0ed849bb5199e04c05c5,0x56264fecbcabf5bffccfdfbdb078fef1185d7451,10415000000000000005691,8706816866960836951567,278,stakeDelegatedLockeds
0x8f72923fbc42e1471ddaba735a7522d185864aa28bbe223091516a33dd26629d-273,13113670,273,1630150998,0x4d6a8776a164776c93618233a0003e8894e7e6c2,0xb909e48b3135adc30a6334a2f5b9645f8ddcaaf0,75196365101776148805675,70771647840775509798709,278,stakeDelegatedLockeds
0xfe4730efcf3606c25913b76db8c180ede2641ef478d0470ee1de5c6c0296c055-155,13114196,155,1630157937,0x5a8904be09625965d9aec4bffd30d853438a053e,0xafbb929b353f56902bca5e22df7670aaa7a5e3b1,8127860526378161924351,7477690962005971820637,278,stakeDelegatedLockeds
0x4f729474f4397e07ced0b2c9ac9424f5d9a36da62bf311dcba3a2a31a48d4516-98,13115242,98,1630171680,0x5a8904be09625965d9aec4bffd30d853438a053e,0x1aeff0b3471785f24a5b06a01370b17565bde957,8700000000000000001423,8004063450439322021056,279,stakeDelegatedLockeds
0xb654f7c2843c26a5648f2e5a5e29dec61ab7154c8b380d7e419725e3fb4829e5-123,13117375,123,1630199766,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0xe2e8369ec7de1a6021edc7045cd3a51040998922,106409778999903531476448,98180003127757521629346,279,stakeDelegatedLockeds
0xf009486131b2875d2f57ccc35caa20d768f7e16f489a0d215a8e819741ee4acb-370,13119313,370,1630225689,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x8fe178db26eba2eedb22575265bf10a63c395a3d,9300000000000000007893,8580734192568642800080,279,stakeDelegatedLockeds
0xd927f963db7d1eb82f195fd71e13bf17fed4d3ac8b4cb48992b6669cf6a020ae-263,13120109,263,1630236379,0x07051463ca2414f716d37da8cdbcdb5abe4cc239,0x2b54852fac10971710fc793c315c9d72ad5bfd23,26749071010761647382667,16462334316505684181900,279,stakeDelegatedLockeds
0x438684e977387ff997573859f5821df7cc8ceeff41044fa3ee189818e94a9750-263,13120656,263,1630244096,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x0f9dd659a63c1decfb8fa7582e8324e9f8673456,537582804109158702706,496005929952299867501,279,stakeDelegatedLockeds
0xfe46167e4a091bca0915b85df3c024e5ef2c0a898d3b7614c67c35db8258249d-198,13120909,198,1630247308,0x5a8904be09625965d9aec4bffd30d853438a053e,0xb1e39a10762cd63a9e17213f40dde9af92cb6a7e,116898423886762117702696,107490256778490515343499,279,stakeDelegatedLockeds
0x1fa5757121ade74c970085c6e3f796b3d10a56ee83b73c116cd3930146a4f9c3-160,13124545,160,1630295561,0x5a8904be09625965d9aec4bffd30d853438a053e,0x4b8f9f3527868118475561eba84d060e4f1fb8d7,147173434003740520371,135320514925497415708,280,stakeDelegatedLockeds
0x35d7081a019f6f48d849e23623e79fdcfc710a09dc9398ddebec45a97253f157-428,13125736,428,1630311334,0x5a8904be09625965d9aec4bffd30d853438a053e,0xed747827820974f6cfa990b39931d97660520ea4,828075955970306194129,761385133926258618002,280,stakeDelegatedLockeds
0x41fd94d0a3dbe5a8cd354c0df4910d7f148d920428b0bc70103ca4de0b303633-158,13125775,158,1630311869,0x5a8904be09625965d9aec4bffd30d853438a053e,0x4ae67ee61a3724e114a167dad944cf3fd6d21880,2448518280888322086865,2251321760732173632365,280,stakeDelegatedLockeds
0x25459c3290a16177e7cbafad4243c60cedebcca6b76254a091f8722e4177579d-507,13125985,507,1630314638,0x5a8904be09625965d9aec4bffd30d853438a053e,0xb0ce9d31ede75007b53d666be773230c217f7ac8,13175758045557257080100,12114620925494328543713,280,stakeDelegatedLockeds
0x9a3cfc017fd99becff60a099c4681ce3327abe686e7fa2181a89b0f099b0b281-483,13126437,483,1630321069,0x5a8904be09625965d9aec4bffd30d853438a053e,0x3c87f18da938695e03792f1f977489ec480ded1a,446277990782502604343,410336063172038041725,280,stakeDelegatedLockeds
0x3f2a78e7c623c6661b590fecb760a3fb42e991de6416dcd09cc80fd7970a9b9a-78,13126824,78,1630325727,0x5a8904be09625965d9aec4bffd30d853438a053e,0x255d3752359e776e7d7f81785c16baaf3488f08b,2214124650301949714808,2035805509440526885712,280,stakeDelegatedLockeds
0x748d76d196a51a2ad3b76043d327e8c7b7ddee5d8bfd3f34377d70831a5f1bc8-39,13127165,39,1630330438,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0xeb90a09a3aaef948e88fc4de3bb5ef718d0ae95c,16538758431231141380368,14953900777260697989557,280,stakeDelegatedLockeds
