         2900107660 function calls (2375386070 primitive calls) in 2180.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 __init__.py:16(create_tensor_field)
        4    0.000    0.000    0.009    0.002 __init__.py:150(apply_identity_funcs)
        4    0.000    0.000    0.009    0.002 frame.py:5160(fillna)
     28/4    0.000    0.000    0.009    0.002 generic.py:6186(fillna)
        4    0.000    0.000    0.008    0.002 __init__.py:69(flatten)
     1529    0.002    0.000    0.007    0.000 revenue.py:136(store_query_revenue)
        1    0.000    0.000    0.007    0.007 __init__.py:20(<listcomp>)
        5    0.007    0.001    0.007    0.001 construction.py:869(<listcomp>)
       24    0.000    0.000    0.006    0.000 series.py:4804(fillna)
      306    0.001    0.000    0.006    0.000 subgraph.py:12(tokens)
       47    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.006    0.006 __init__.py:185(generate_config)
       44    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     1529    0.003    0.000    0.006    0.000 indexer_behaviors.py:47(store_delegation_parameters)
      534    0.005    0.000    0.006    0.000 delegator.py:7(__init__)
       46    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
       46    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        2    0.005    0.003    0.005    0.003 {built-in method io.open}
    25993    0.005    0.000    0.005    0.000 simulation.py:92(<dictcomp>)
       70    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
       44    0.005    0.000    0.005    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.004    0.004 pool.py:10(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:8(<module>)
        5    0.000    0.000    0.004    0.001 construction.py:98(arrays_to_mgr)
     1529    0.004    0.000    0.004    0.000 delegate_front_runner.py:16(inputs)
       28    0.000    0.000    0.004    0.000 managers.py:276(apply)
       24    0.000    0.000    0.004    0.000 managers.py:405(fillna)
       24    0.000    0.000    0.003    0.000 blocks.py:430(fillna)
        5    0.000    0.000    0.003    0.001 managers.py:1753(create_block_manager_from_arrays)
        4    0.000    0.000    0.003    0.001 connection.py:10(<module>)
     1529    0.003    0.000    0.003    0.000 revenue.py:97(cumulative_non_indexer_revenue)
        5    0.000    0.000    0.003    0.001 managers.py:1804(_form_blocks)
       46    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       27    0.000    0.000    0.003    0.000 frame.py:3418(__getitem__)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
      191    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      191    0.003    0.000    0.003    0.000 {built-in method nt.stat}
        6    0.002    0.000    0.002    0.000 managers.py:1943(_stack_arrays)
        1    0.000    0.000    0.002    0.002 _pp.py:28(<module>)
     1529    0.002    0.000    0.002    0.000 revenue.py:35(mint_GRT)
       80    0.002    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        5    0.000    0.000    0.002    0.000 managers.py:1888(_simple_blockify)
      355    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       44    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
    10448    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 context.py:1(<module>)
       24    0.000    0.000    0.002    0.000 generic.py:4214(_update_inplace)
       26    0.000    0.000    0.002    0.000 frame.py:3871(_get_item_cache)
       44    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     2256    0.002    0.000    0.002    0.000 subgraph.py:14(<genexpr>)
       24    0.000    0.000    0.002    0.000 series.py:1216(_maybe_update_cacher)
     1529    0.002    0.000    0.002    0.000 delegate_front_runner.py:96(generateOutput)
      325    0.001    0.000    0.001    0.000 delegator.py:38(withdraw)
       24    0.000    0.000    0.001    0.000 blocks.py:510(_maybe_downcast)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
      121    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
       24    0.000    0.000    0.001    0.000 blocks.py:520(<listcomp>)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       24    0.000    0.000    0.001    0.000 blocks.py:134(newfunc)
       24    0.000    0.000    0.001    0.000 frame.py:3894(_maybe_cache_changed)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
